,Text,Latitude,Longitude,Sentiment,label,clase,Estado
667871,"Amo con locura #TheHandmaidsTale, pero me cuesta trabajo hacer un maratón de la serie porque cada episodio es más intenso, cruel y depresivo que el pasado. Necesito respirar después de verla y poner algo más agradable. ¿Ustedes pueden? https://t.co/MFZDcIyFFn",19.380613,-99.1614805,positivo,0,No Depresión,Ciudad de México
288243,"Ya llegué más mojado de lo que esperaba (@ La Casa Del Corregidor in Cuauhtémoc, D.f.) https://t.co/dzERO5RvFJ https://t.co/H6YGesSo9D",19.42913353,-99.13144549,positivo,0,No Depresión,Ciudad de México
492639,#adopta #CDMX bello CLYDE por favor RT @sebuscaCdMx @lalovillarp @clannak @happymeanbunny @UribeMerle @SylviaPasquel @lolacortesreal @ReginaOrozco @koncientizando @BRIMENDEZLM @lagateria @GATITOSTLATE @proyectoGatto https://t.co/ZONMru5C94,19.4320755,-99.087817,neutro,0,No Depresión,Ciudad de México
659682,telcelmexicocitymarathon #entregadekits #ejercitomexicano #mexico 🇲🇽 en Autódromo Hnos. Rodríguez https://t.co/w28qFEG0lt,19.40475893,-99.09189489,positivo,0,No Depresión,Ciudad de México
361402,"Hay una semana que veo a mis besties, y otra semana no. Esta semana los veo y estoy algo impaciente y ansioso por verles 😫🙃😍",19.44950867,-99.0591853,positivo,0,No Depresión,Ciudad de México
298616,"Porque ya hace hambre!! (@ Pancita Lindo Michoacan in Mexico City, DF) https://t.co/2S4Qjn5R7l",19.38045553,-99.14982963,positivo,1,Depresión,Ciudad de México
341201,No tengo perdón de Dios 🙈 en The FIFTH https://t.co/21qxuJvx6w,19.44276,-99.09199,neutro,0,No Depresión,Ciudad de México
636404,@Otronomas Pedimos a @UCS_CDMX corregir situación de  semáforos con apoyo del área técnica de Tránsito. Buena noche.,19.432836,-99.153366,positivo,0,No Depresión,Ciudad de México
469256,"Y por lo visto, la cábula (que ahora llaman bullying), tampoco.",19.380613,-99.1614805,neutro,0,No Depresión,Ciudad de México
334089,"El Barcelona y sus eternos problemas defensivos, ah pero en el mediocampo y en la delantera escupen jugadores.",19.318042,-99.2480095,positivo,0,No Depresión,Ciudad de México
14499,"Yo pensaba justo en aquellos que enfrentamos algún problema para estudiar, el desmadre y la depresión que entra al saber que estudiar en el extranjero involucra una suma importante de dinero, siempre he notado la división de clases...",19.380613,-99.1614805,negativo,0,No Depresión,Ciudad de México
219488,hola feliz miércoles 👅 https://t.co/KKcWYZmd4A,19.380613,-99.1614805,positivo,1,Depresión,Ciudad de México
672666,@NenaLin402 Qué líndas tetas y los botones puedo probar,19.318042,-99.2480095,positivo,0,No Depresión,Ciudad de México
823039,@_paosalomon mejor como layún,19.4299345,-99.2115105,positivo,1,Depresión,Ciudad de México
464169,"“Lanza tus sueños al espacio como una cometa y no sabes lo que te devolverán: una nueva vida, un nuevo amigo, un nuevo amor, un nuevo país”. Anaïs Nin",19.380613,-99.1614805,positivo,1,Depresión,Ciudad de México
687487,"✌🏼🤤 (@ La Casa de Toño in Ciudad de México, CDMX) https://t.co/3mT1Y8XYk6",19.43376963,-99.14296796,positivo,0,No Depresión,Ciudad de México
611945,Así que no nada más es uno!! @BimboMx  @gansitomarinela,19.328383,-99.15234,positivo,0,No Depresión,Ciudad de México
262144,"#publicidad #repost todoenmexico1 Tienes que probar est pasta con trufa servida en #pancampesino de atipico.mexico  #atipico #polanquito en Mexico City, Mexico https://t.co/LTzezvcdds",19.4326,-99.1332,positivo,0,No Depresión,Ciudad de México
756833,Que me echen otros 42 k #bitácoradeunforastero #bitácoradeunviajero #mexico #maraton #maratoncdmx #maratoncdmxtelcel #42k #cd #mexicocitydf #mexicocity #postalesurbanas #iger #igers… https://t.co/zPs8UeTqdp,19.331928,-99.192106,positivo,0,No Depresión,Ciudad de México
82857,@jczentella Para quienes tenemos un crédito de Infonavit nos es importante y necesario sean revisados los altos interéses que tenemos que pagar con cada ajuste que se hace al inicio de cada año,19.4299345,-99.2115105,neutro,0,No Depresión,Ciudad de México
142315,@leslypedrodp69 Soy de la CDMX me llamo Aldo,19.432836,-99.153366,positivo,0,No Depresión,Ciudad de México
664215,Solicita ya en tu estación de radio favorita el tema  nuevo de @julionalvarez ySNB #TeLoEstoyAfirmando  @LasChiquitasJA @EEnrique_F @newsmedialatino @chikitaluu @angelesmendozap @chicuela https://t.co/els8Xzkj1s,19.3427885,-99.050461,positivo,0,No Depresión,Ciudad de México
192487,"Al derecho y al revés, siempre pienso en ti....!!!. . . . #somosfelices #amorverdadero #amoaminovia  #parejafeliz  #minoviaeslamejor  #amoaminovia en Mexico City, Mexico https://t.co/Q9SJi4amR2",19.4326,-99.1332,positivo,0,No Depresión,Ciudad de México
168091,"@DTlalpan @SacmexCDMX  urge suministro de agua Col. El Mirador, Tlalpan",19.199485,-99.208364,neutro,1,Depresión,Ciudad de México
17338,#Poderoso ahora entiendo por que le gusta el leguetón a Ddulo 😆😆😆 no se enoje estimado @ruleiro Saludos al #TeamPatas 😛 https://t.co/71ieqzTV71,19.432836,-99.153366,positivo,0,No Depresión,Ciudad de México
812044,@ExpansionMx Será con los números ???‼️,19.380613,-99.1614805,positivo,0,No Depresión,Ciudad de México
617046,#FelizMiércoles a todas y todos ! Recuerden que la base del éxito es la perseverancia 💪🏼,19.328383,-99.15234,positivo,0,No Depresión,Ciudad de México
405678,"INTERPOL (@ Teatro de la Ciudad  Esperanza Iris  for Interpol in Cuauhtémoc, Mexico City, DF, Ciudad de México w/ @alxsavage) https://t.co/G6DX92DEFn",19.43652696,-99.13734875,positivo,1,Depresión,Ciudad de México
591466,@TenguOficial solo puedo dar un like  pero me encanto,19.380613,-99.1614805,positivo,0,No Depresión,Ciudad de México
488783,"Será que @CH14_  está en drogas? O peor aún, anda en cursos de superación personal?",19.328383,-99.15234,negativo,0,No Depresión,Ciudad de México
334536,"Volcadura en Carretera Federal México Cuernavaca, colonia San Andrés Totoltepec, acuden bomberos de la Estación Tlalpan. Ceda el paso a las unidades de emergencia.                     #JefeVulcano.                              #BOMBEROSCDMX",19.4320755,-99.087817,positivo,0,No Depresión,Ciudad de México
17,"I'm at Commercium copilco in Pueblo de Los Reyes, Copilco https://t.co/k0da5uXpXV",19.33524214,-99.157632,positivo,0,No Depresión,Ciudad de México
